purchase_month,category,delivered_orders,items_sold,product_revenue
2016-09-01,health_beauty,1,3,134.97
2016-10-01,furniture_decor,49,65,5690.52
2016-10-01,perfumery,26,29,4829.1
2016-10-01,toys,22,24,4106.5
2016-10-01,consoles_games,7,7,3619.36
2016-10-01,health_beauty,36,40,3439.25
2016-10-01,watches_gifts,4,4,2711.07
2016-10-01,sports_leisure,17,17,2012.15
2016-10-01,baby,9,11,1371.17
2016-10-01,garden_tools,5,5,1359.88
2016-10-01,air_conditioning,4,8,1349.29
2016-10-01,office_furniture,6,6,1300.88
2016-10-01,housewares,9,12,1287.07
2016-10-01,auto,8,8,1128.26
2016-10-01,cool_stuff,7,7,1046.1
2016-10-01,market_place,5,11,915.29
2016-10-01,fixed_telephony,5,5,704.88
2016-10-01,pet_shop,4,4,689.68
2016-10-01,computers_accessories,12,12,669.02
2016-10-01,bed_bath_table,5,8,478.99
2016-10-01,fashion_bags_accessories,7,8,373.3
2016-10-01,industry_commerce_and_business,3,4,359.6
2016-10-01,telephony,7,8,228.29
2016-10-01,audio,2,2,156.99
2016-10-01,diapers_and_hygiene,1,1,134.9
2016-10-01,electronics,1,1,107.99
2016-10-01,food,1,1,79.9
2016-10-01,unknown,2,2,65.89
2016-10-01,fashio_female_clothing,1,1,54.9
2016-10-01,fashion_shoes,1,1,29.99
2016-10-01,fashion_male_clothing,1,1,24.9
2016-12-01,fashion_bags_accessories,1,1,10.9
2017-01-01,furniture_decor,132,177,13036.63
2017-01-01,health_beauty,79,82,12366.44
2017-01-01,sports_leisure,57,74,9212.14
2017-01-01,watches_gifts,11,11,8086.52
2017-01-01,garden_tools,36,54,7466.95
2017-01-01,cool_stuff,30,37,6856.87
2017-01-01,baby,31,40,6217.88
2017-01-01,perfumery,29,34,5112.6
2017-01-01,auto,27,31,4820.03
2017-01-01,toys,41,41,4568.19
2017-01-01,consoles_games,19,21,4514.44
2017-01-01,computers_accessories,24,31,3924.14
2017-01-01,bed_bath_table,43,46,3804.36
2017-01-01,housewares,21,28,2827.58
2017-01-01,computers,1,1,2199.99
2017-01-01,home_appliances_2,6,7,1916.78
2017-01-01,fashion_bags_accessories,30,35,1671.97
2017-01-01,small_appliances,6,6,1660.79
2017-01-01,unknown,10,12,1603.64
2017-01-01,stationery,7,14,1561.99
2017-01-01,furniture_living_room,8,10,1241.9
2017-01-01,office_furniture,6,8,1158.35
2017-01-01,pet_shop,12,14,799.12
2017-01-01,telephony,17,22,755.94
2017-01-01,fixed_telephony,19,22,677.12
2017-01-01,air_conditioning,3,4,663.7
2017-01-01,electronics,11,11,617.0
2017-01-01,luggage_accessories,4,5,492.5
2017-01-01,market_place,5,5,414.14
2017-01-01,musical_instruments,1,1,339.74
2017-01-01,books_general_interest,2,2,234.89
2017-01-01,security_and_services,1,1,183.29
2017-01-01,fashion_underwear_beach,2,2,137.25
2017-01-01,fashion_male_clothing,1,1,126.9
2017-01-01,kitchen_dining_laundry_garden_furniture,1,1,110.0
2017-01-01,fashio_female_clothing,2,2,77.3
2017-01-01,furniture_bedroom,8,8,73.2
2017-01-01,home_comfort_2,2,2,72.8
2017-01-01,agro_industry_and_commerce,2,3,65.97
2017-01-01,food,2,2,42.82
2017-01-01,fashion_shoes,1,1,34.9
2017-01-01,dvds_blu_ray,1,2,29.8
2017-01-01,music,2,2,19.8
2017-02-01,health_beauty,143,154,22059.92
2017-02-01,furniture_decor,213,257,19926.41
2017-02-01,sports_leisure,134,149,15629.98
2017-02-01,bed_bath_table,140,157,15572.13
2017-02-01,cool_stuff,68,69,12454.6
2017-02-01,auto,75,83,12358.78
2017-02-01,garden_tools,60,69,11734.62
2017-02-01,computers_accessories,92,100,11319.09
2017-02-01,housewares,61,69,11295.34
2017-02-01,watches_gifts,32,33,10992.39
2017-02-01,office_furniture,52,62,10845.98
2017-02-01,toys,61,66,9353.44
2017-02-01,unknown,50,56,8521.11
2017-02-01,perfumery,47,49,8040.38
2017-02-01,small_appliances,25,28,7251.58
2017-02-01,telephony,95,106,6693.34
2017-02-01,consoles_games,18,18,4294.77
2017-02-01,pet_shop,36,39,3584.87
2017-02-01,computers,1,1,3549.0
2017-02-01,furniture_living_room,12,21,3409.64
2017-02-01,baby,31,32,2837.58
2017-02-01,air_conditioning,11,11,2405.3
2017-02-01,stationery,19,19,2341.4
2017-02-01,musical_instruments,8,9,2221.28
2017-02-01,fashion_bags_accessories,32,36,2170.31
2017-02-01,luggage_accessories,19,20,1659.19
2017-02-01,market_place,17,20,1574.22
2017-02-01,electronics,14,19,1218.85
2017-02-01,tablets_printing_image,8,8,792.0
2017-02-01,books_general_interest,8,8,772.71
2017-02-01,fixed_telephony,18,22,759.23
2017-02-01,home_appliances,7,7,740.9
2017-02-01,home_construction,3,4,695.6
2017-02-01,food,8,8,676.73
2017-02-01,costruction_tools_garden,1,2,579.98
2017-02-01,fashion_male_clothing,6,6,545.95
2017-02-01,furniture_bedroom,1,1,450.0
2017-02-01,home_confort,3,3,414.66
2017-02-01,fashion_underwear_beach,6,8,396.97
2017-02-01,construction_tools_safety,1,1,379.0
2017-02-01,fashio_female_clothing,3,3,363.9
2017-02-01,construction_tools_construction,3,3,336.79
2017-02-01,agro_industry_and_commerce,7,7,224.84
2017-02-01,audio,5,5,163.8
2017-02-01,books_technical,1,1,159.0
2017-02-01,kitchen_dining_laundry_garden_furniture,2,2,139.9
2017-02-01,industry_commerce_and_business,1,1,119.0
2017-02-01,fashion_shoes,2,3,107.05
2017-02-01,cine_photo,1,1,59.0
2017-02-01,home_appliances_2,1,1,15.99
2017-02-01,dvds_blu_ray,1,1,14.9
2017-03-01,computers_accessories,147,171,28078.8
2017-03-01,health_beauty,190,208,25652.45
2017-03-01,sports_leisure,164,190,25472.89
2017-03-01,bed_bath_table,239,279,25120.02
2017-03-01,watches_gifts,74,79,24892.38
2017-03-01,garden_tools,117,146,23508.76
2017-03-01,furniture_decor,253,315,22133.47
2017-03-01,cool_stuff,116,118,20583.33
2017-03-01,perfumery,103,105,19608.14
2017-03-01,auto,67,78,13272.93
2017-03-01,housewares,170,196,12906.96
2017-03-01,toys,99,102,12339.57
2017-03-01,small_appliances,31,31,11171.06
2017-03-01,office_furniture,58,74,10793.85
2017-03-01,consoles_games,45,47,9834.04
2017-03-01,pet_shop,40,44,8240.06
2017-03-01,telephony,153,165,7877.12
2017-03-01,unknown,54,60,6457.17
