category,delivered_orders,items_sold,distinct_products,distinct_sellers,product_revenue,freight_value,average_item_revenue,average_freight_share,average_review_score,late_delivery_rate_pct
health_beauty,8647,9465,2397,479,1233131.72,178957.81,130.28,0.1991,4.19,9.05
watches_gifts,5495,5859,1300,95,1166176.98,98156.14,199.04,0.1317,4.07,8.28
bed_bath_table,9272,10953,2991,189,1023434.76,201774.5,93.44,0.203,3.92,8.4
sports_leisure,7530,8431,2822,466,954852.55,163404.36,113.25,0.2035,4.17,7.41
computers_accessories,6530,7644,1600,279,888724.61,143999.16,116.26,0.203,3.99,7.77
furniture_decor,6307,8160,2593,352,711927.69,168402.23,87.25,0.2324,3.95,8.43
housewares,5743,6795,2282,452,615628.69,142763.56,90.6,0.2519,4.11,6.49
cool_stuff,3559,3718,770,259,610204.1,81476.79,164.12,0.1632,4.19,6.75
auto,3810,4140,1853,371,578966.65,90488.1,139.85,0.2148,4.12,8.29
toys,3804,4030,1373,242,471286.48,75774.58,116.94,0.1899,4.21,7.42
garden_tools,3448,4268,725,227,470495.28,96650.4,110.24,0.2307,4.08,7.97
baby,2809,2982,890,240,400421.84,66305.81,134.28,0.2051,4.08,8.79
perfumery,3086,3340,857,173,390144.65,53026.98,116.81,0.183,4.22,7.34
telephony,4093,4430,1112,142,309860.23,69342.39,69.95,0.3009,3.99,8.33
office_furniture,1254,1668,302,30,268154.31,67057.05,160.76,0.2047,3.51,8.93
stationery,2264,2466,831,172,223788.69,45786.36,90.75,0.2166,4.25,8.03
computers,177,199,30,9,218684.14,9665.62,1098.92,0.0518,4.22,6.53
pet_shop,1688,1924,710,132,211695.64,38918.56,110.03,0.2066,4.22,6.13
musical_instruments,611,651,279,67,184315.74,17871.38,283.13,0.1736,4.22,8.6
small_appliances,609,658,220,97,182754.12,15354.35,277.74,0.1795,4.23,5.93
unknown,1392,1537,584,247,170726.63,26969.06,111.08,0.213,3.94,9.37
electronics,2517,2729,507,145,155043.93,45679.16,56.81,0.3585,4.07,9.75
fashion_bags_accessories,1820,1985,829,97,149329.39,30558.9,75.23,0.2295,4.19,6.25
consoles_games,1018,1089,300,81,148003.37,19094.36,135.91,0.2367,4.14,7.81
construction_tools_construction,736,916,393,123,142108.49,20273.52,155.14,0.2041,4.09,8.08
luggage_accessories,1019,1077,346,73,138701.63,30076.49,128.79,0.1956,4.35,5.39
home_appliances_2,227,231,88,45,107953.95,10254.57,467.33,0.149,4.16,6.93
home_construction,483,596,221,67,81407.57,13614.8,136.59,0.1896,3.96,8.22
home_appliances,747,754,364,48,78832.48,14469.3,104.55,0.252,4.22,6.76
agro_industry_and_commerce,177,206,71,32,70566.1,5637.2,342.55,0.1752,4.09,4.37
furniture_living_room,414,495,152,55,67350.7,17694.37,136.06,0.2329,3.93,7.88
home_confort,392,429,111,20,58008.45,8429.77,135.22,0.1601,3.85,10.26
fixed_telephony,212,255,113,48,55315.21,4501.33,216.92,0.2351,3.76,4.31
air_conditioning,246,289,121,51,53323.56,6530.99,184.51,0.1593,4.05,3.81
audio,348,362,58,36,50570.6,5684.72,139.7,0.2078,3.84,12.71
small_appliances_home_oven_and_coffee,72,73,30,14,46589.56,2656.34,638.21,0.123,4.44,6.85
kitchen_dining_laundry_garden_furniture,241,274,92,51,45531.98,11540.99,166.18,0.2415,4.03,4.38
books_general_interest,496,537,207,53,45302.15,8880.39,84.36,0.2359,4.51,6.52
construction_tools_lights,242,301,77,36,39957.0,7490.14,132.75,0.191,4.08,9.97
construction_tools_safety,159,183,88,33,38773.22,3730.8,211.88,0.166,3.97,5.46
industry_commerce_and_business,232,265,68,29,38498.81,7580.53,145.28,0.2064,4.13,7.55
food,441,499,79,56,28731.15,7063.53,57.58,0.2369,4.26,9.82
market_place,274,305,99,55,27795.77,5318.61,91.13,0.2226,4.07,4.26
