purchase_month,delivered_orders,product_revenue,average_order_value,unique_customers,average_review_score,late_delivery_rate_pct
2016-09-01,1,134.97,134.97,1,1.0,100.0
2016-10-01,265,40325.11,152.17,262,4.01,1.13
2016-12-01,1,10.9,10.9,1,5.0,0.0
2017-01-01,750,111798.36,149.06,718,4.2,3.07
2017-02-01,1653,234223.4,141.7,1630,4.2,3.21
2017-03-01,2546,359198.85,141.08,2508,4.19,5.58
2017-04-01,2303,340669.68,147.92,2274,4.14,7.86
2017-05-01,3546,489338.25,138.0,3479,4.24,3.61
2017-06-01,3135,421923.37,134.58,3076,4.22,3.86
2017-07-01,3872,481604.52,124.38,3802,4.26,3.43
2017-08-01,4193,554699.7,132.29,4114,4.31,3.32
2017-09-01,4150,607399.67,146.36,4083,4.27,5.2
2017-10-01,4478,648247.65,144.76,4417,4.21,5.29
2017-11-01,7289,987765.37,135.51,7183,3.99,14.31
2017-12-01,5513,726033.19,131.69,5450,4.09,8.38
2018-01-01,7069,924645.0,130.8,6974,4.11,6.56
2018-02-01,6555,826437.13,126.08,6400,3.88,15.99
2018-03-01,7003,953356.25,136.14,6914,3.81,21.36
2018-04-01,6798,973534.09,143.21,6744,4.21,5.31
2018-05-01,6749,977544.69,144.84,6693,4.24,8.24
2018-06-01,6099,856077.86,140.36,6061,4.31,1.36
2018-07-01,6159,867953.46,140.92,6100,4.32,4.48
2018-08-01,6351,838576.64,132.04,6310,4.31,10.39
