purchase_week,delivered_orders,product_revenue,average_order_value,unique_customers
2016-09-12,1,134.97,134.97,1
2016-10-03,231,37165.54,160.89,229
2016-10-10,34,3159.57,92.93,33
2016-12-19,1,10.9,10.9,1
2017-01-02,44,3114.96,70.79,30
2017-01-09,73,10969.66,150.27,71
2017-01-16,189,23316.8,123.37,184
2017-01-23,332,53679.16,161.68,327
2017-01-30,432,68718.18,159.07,426
2017-02-06,511,75998.99,148.73,504
2017-02-13,379,51034.99,134.66,376
2017-02-20,349,42722.94,122.42,345
2017-02-27,461,67456.1,146.33,452
2017-03-06,548,73088.13,133.37,539
2017-03-13,591,93489.27,158.19,588
2017-03-20,624,83894.51,134.45,613
2017-03-27,546,84255.28,154.31,539
2017-04-03,563,87708.88,155.79,551
2017-04-10,421,55773.1,132.48,420
2017-04-17,545,83866.63,153.88,537
2017-04-24,644,86802.71,134.79,644
2017-05-01,750,96876.15,129.17,738
2017-05-08,753,109165.93,144.97,745
2017-05-15,916,120270.33,131.3,897
2017-05-22,760,112627.81,148.19,751
2017-05-29,800,112409.52,140.51,793
2017-06-05,814,105620.36,129.75,797
2017-06-12,726,99926.44,137.64,714
2017-06-19,635,85321.24,134.36,624
2017-06-26,706,91698.75,129.88,701
2017-07-03,794,103260.54,130.05,785
2017-07-10,926,111456.39,120.36,917
2017-07-17,937,119201.84,127.22,921
2017-07-24,893,108054.65,121.0,878
2017-07-31,954,116988.69,122.63,941
2017-08-07,911,125458.24,137.71,898
2017-08-14,1008,121450.26,120.49,992
2017-08-21,862,104198.86,120.88,845
2017-08-28,979,177090.57,180.89,962
2017-09-04,879,130611.8,148.59,864
2017-09-11,1136,156035.52,137.36,1122
2017-09-18,956,124943.0,130.69,943
2017-09-25,925,140357.1,151.74,917
2017-10-02,975,141310.27,144.93,963
2017-10-09,1030,147817.69,143.51,1019
2017-10-16,1105,161839.46,146.46,1092
2017-10-23,950,136068.59,143.23,939
2017-10-30,900,141792.88,157.55,889
2017-11-06,1168,154399.01,132.19,1163
2017-11-13,1259,171959.43,136.58,1245
2017-11-20,2915,397906.24,136.5,2875
2017-11-27,2047,263421.92,128.69,2028
2017-12-04,1631,217090.29,133.1,1612
2017-12-11,1367,185623.79,135.79,1352
2017-12-18,952,125420.25,131.74,946
2017-12-25,857,99337.91,115.91,852
2018-01-01,1341,178664.52,133.23,1335
2018-01-08,1738,232693.31,133.89,1726
2018-01-15,1704,214068.21,125.63,1683
2018-01-22,1545,208363.75,134.86,1523
2018-01-29,1561,193936.25,124.24,1541
2018-02-05,1541,200137.44,129.88,1512
2018-02-12,1595,189658.76,118.91,1558
2018-02-19,1713,205898.6,120.2,1672
2018-02-26,1849,254806.54,137.81,1806
2018-03-05,1598,221494.72,138.61,1580
2018-03-12,1541,210871.98,136.84,1527
2018-03-19,1671,223658.45,133.85,1659
2018-03-26,1431,198739.48,138.88,1422
2018-04-02,1555,222233.8,142.92,1546
2018-04-09,1522,227163.88,149.25,1510
2018-04-16,1637,227918.23,139.23,1628
2018-04-23,1648,232460.91,141.06,1643
2018-04-30,1734,239882.91,138.34,1726
2018-05-07,1943,289594.78,149.05,1936
2018-05-14,1805,255109.08,141.33,1797
2018-05-21,941,132510.93,140.82,937
2018-05-28,1075,181263.13,168.62,1069
2018-06-04,1422,202581.64,142.46,1416
2018-06-11,1497,218937.6,146.25,1493
2018-06-18,1443,190414.07,131.96,1439
2018-06-25,1382,182417.52,132.0,1376
2018-07-02,1178,154236.02,130.93,1175
2018-07-09,972,153465.37,157.89,967
2018-07-16,1649,217457.2,131.87,1624
2018-07-23,1610,236498.42,146.89,1600
2018-07-30,2002,271314.44,135.52,1996
2018-08-06,1931,270236.8,139.95,1924
2018-08-13,1839,243458.02,132.39,1831
2018-08-20,1054,125412.5,118.99,1053
2018-08-27,116,10565.86,91.09,116
